customer_id,email_opens,email_clicks,ad_impressions,ad_clicks,email_click_rate,ad_click_rate
CUST_07035,3,1,50,2,0.3333,0.0400
CUST_04919,1,0,50,4,0.0000,0.0800
CUST_06927,2,0,42,1,0.0000,0.0238
CUST_10099,0,0,54,3,0.0000,0.0556
CUST_07489,5,0,48,0,0.0000,0.0000
CUST_08135,1,0,52,3,0.0000,0.0577
CUST_06749,5,2,61,6,0.4000,0.0984
CUST_04221,0,0,41,5,0.0000,0.1220
CUST_07856,3,1,39,2,0.3333,0.0513
CUST_01506,2,1,54,2,0.5000,0.0370
CUST_07029,2,1,30,2,0.5000,0.0667
CUST_04118,3,0,50,2,0.0000,0.0400
CUST_04755,4,2,50,4,0.5000,0.0800
CUST_04301,0,0,38,3,0.0000,0.0789
CUST_01582,1,0,41,3,0.0000,0.0732
CUST_11858,3,1,49,6,0.3333,0.1224
CUST_01394,9,4,50,1,0.4444,0.0200
CUST_01475,0,0,49,1,0.0000,0.0204
CUST_00024,1,1,42,3,1.0000,0.0714
CUST_10121,3,1,52,2,0.3333,0.0385
CUST_05511,4,1,56,1,0.2500,0.0179
CUST_03341,7,6,58,3,0.8571,0.0517
CUST_09778,6,3,51,3,0.5000,0.0588
CUST_04583,2,1,46,1,0.5000,0.0217
CUST_03342,6,1,60,1,0.1667,0.0167
CUST_02637,6,1,40,1,0.1667,0.0250
CUST_05352,1,0,45,3,0.0000,0.0667
CUST_05495,6,1,62,2,0.1667,0.0323
CUST_08968,4,3,53,2,0.7500,0.0377
CUST_00590,1,0,41,3,0.0000,0.0732
CUST_06230,1,0,51,3,0.0000,0.0588
CUST_06648,5,0,69,4,0.0000,0.0580
CUST_09501,1,0,44,1,0.0000,0.0227
CUST_10727,2,1,49,3,0.5000,0.0612
CUST_07008,2,1,53,5,0.5000,0.0943
CUST_03008,1,1,49,1,1.0000,0.0204
CUST_05018,2,0,47,1,0.0000,0.0213
CUST_06293,4,1,40,3,0.2500,0.0750
CUST_07146,5,4,41,3,0.8000,0.0732
CUST_09138,2,0,52,5,0.0000,0.0962
CUST_11130,5,0,47,1,0.0000,0.0213
CUST_00558,6,1,56,4,0.1667,0.0714
CUST_01198,6,2,43,2,0.3333,0.0465
CUST_04150,3,2,46,1,0.6667,0.0217
CUST_05645,1,1,36,2,1.0000,0.0556
CUST_02400,4,1,54,3,0.2500,0.0556
CUST_03487,4,1,50,4,0.2500,0.0800
CUST_01747,6,1,45,0,0.1667,0.0000
CUST_08109,5,1,48,1,0.2000,0.0208
CUST_11256,8,3,58,4,0.3750,0.0690
CUST_07209,2,2,65,2,1.0000,0.0308
CUST_01343,1,0,43,2,0.0000,0.0465
CUST_08301,4,0,43,1,0.0000,0.0233
CUST_00980,3,0,43,3,0.0000,0.0698
CUST_10753,3,3,51,4,1.0000,0.0784
CUST_10981,3,0,50,1,0.0000,0.0200
CUST_06287,2,1,49,1,0.5000,0.0204
CUST_11170,1,0,49,2,0.0000,0.0408
CUST_05413,4,1,51,3,0.2500,0.0588
CUST_10384,3,0,52,2,0.0000,0.0385
CUST_04004,4,2,52,4,0.5000,0.0769
CUST_04797,3,0,44,0,0.0000,0.0000
CUST_08125,3,1,45,2,0.3333,0.0444
CUST_00793,4,0,45,0,0.0000,0.0000
CUST_00846,6,2,43,3,0.3333,0.0698
CUST_03002,4,1,59,4,0.2500,0.0678
CUST_07806,4,2,53,2,0.5000,0.0377
CUST_09332,0,0,44,4,0.0000,0.0909
CUST_08150,1,1,47,2,1.0000,0.0426
CUST_08427,9,1,53,5,0.1111,0.0943
CUST_05010,2,0,55,3,0.0000,0.0545
CUST_07977,4,1,42,1,0.2500,0.0238
CUST_07602,4,1,46,2,0.2500,0.0435
CUST_09629,3,0,54,3,0.0000,0.0556
CUST_08713,1,0,52,2,0.0000,0.0385
CUST_07179,3,1,41,1,0.3333,0.0244
CUST_07993,5,0,69,4,0.0000,0.0580
CUST_10463,3,1,50,2,0.3333,0.0400
CUST_03909,3,0,48,5,0.0000,0.1042
CUST_01226,2,1,44,1,0.5000,0.0227
CUST_01377,2,2,59,3,1.0000,0.0508
CUST_01790,1,0,61,2,0.0000,0.0328
CUST_00400,3,1,58,5,0.3333,0.0862
CUST_03346,2,0,44,1,0.0000,0.0227
CUST_04738,3,2,58,3,0.6667,0.0517
CUST_00836,0,0,60,4,0.0000,0.0667
CUST_09801,3,2,43,2,0.6667,0.0465
CUST_06376,1,0,45,0,0.0000,0.0000
CUST_00666,3,2,55,2,0.6667,0.0364
