customer_id,age,gender,country,registration_date,acquisition_channel
CUST_07035,54,Female,USA,2024-03-03 22:29:45,Direct
CUST_04919,51,Male,Canada,2023-10-27 04:52:42,Facebook Ads
CUST_06927,35,Female,UK,2024-02-26 08:48:10,Google Ads
CUST_10099,30,Female,UK,2024-09-06 08:18:31,Organic Search
CUST_07489,38,Female,France,2024-03-31 13:23:28,Organic Search
CUST_08135,18,Male,UK,2024-05-09 20:37:47,Facebook Ads
CUST_06749,28,Male,Canada,2024-02-15 12:54:04,Direct
CUST_04221,18,Male,USA,2023-09-14 17:42:49,Google Ads
CUST_07856,24,Male,USA,2024-04-22 21:15:21,Email
CUST_01506,29,Female,Canada,2023-04-02 13:28:59,Google Ads
CUST_07029,21,Female,USA,2024-03-03 13:44:07,Facebook Ads
CUST_04118,18,Male,Germany,2023-09-08 11:19:15,Referral
CUST_04755,28,Female,Germany,2023-10-17 05:25:06,Email
CUST_04301,29,Female,UK,2023-09-19 14:31:24,Organic Search
CUST_01582,48,Male,UK,2023-04-07 04:27:09,Organic Search
CUST_11858,47,Female,Canada,2024-12-22 08:39:46,Referral
CUST_01394,36,Male,USA,2023-03-26 17:56:58,Referral
CUST_01475,25,Female,France,2023-03-31 16:13:10,Facebook Ads
CUST_00024,18,Female,USA,2023-01-02 09:34:58,Facebook Ads
CUST_10121,65,Male,Canada,2024-09-07 16:25:53,Google Ads
CUST_05511,36,Male,USA,2023-12-02 05:16:14,Facebook Ads
CUST_03341,43,Female,USA,2023-07-23 04:48:23,Organic Search
CUST_09778,36,Male,USA,2024-08-17 19:36:35,Google Ads
CUST_04583,34,Male,Canada,2023-10-06 18:16:39,Direct
CUST_03342,32,Male,USA,2023-07-23 06:15:59,Direct
CUST_02637,37,Female,Canada,2023-06-10 08:52:51,Google Ads
CUST_05352,39,Male,Japan,2023-11-22 13:06:40,Facebook Ads
CUST_05495,40,Female,USA,2023-12-01 05:54:31,Facebook Ads
CUST_08968,38,Female,Japan,2024-06-29 12:54:40,Google Ads
CUST_00590,24,Male,France,2023-02-05 20:00:42,Direct
CUST_06230,27,Female,USA,2024-01-14 23:05:53,Organic Search
CUST_06648,23,Female,USA,2024-02-09 09:25:44,Facebook Ads
CUST_09501,31,Female,USA,2024-07-31 23:09:21,Referral
CUST_10727,29,Male,Australia,2024-10-14 13:15:54,Email
CUST_07008,51,Female,USA,2024-03-02 07:04:21,Facebook Ads
CUST_03008,18,Male,Japan,2023-07-02 22:35:09,Organic Search
CUST_05018,59,Male,Germany,2023-11-02 05:25:50,Email
CUST_06293,41,Male,USA,2024-01-18 19:05:08,Facebook Ads
CUST_07146,40,Male,USA,2024-03-10 16:34:10,Google Ads
CUST_09138,47,Female,Australia,2024-07-09 21:07:54,Google Ads
CUST_11130,46,Female,Canada,2024-11-08 01:41:39,Organic Search
CUST_00558,29,Female,USA,2023-02-03 21:17:16,Google Ads
CUST_01198,41,Male,Australia,2023-03-14 19:45:56,Google Ads
CUST_04150,37,Female,Japan,2023-09-10 10:02:41,Email
CUST_05645,44,Male,USA,2023-12-10 08:55:36,Organic Search
CUST_02400,35,Male,Japan,2023-05-26 22:49:55,Google Ads
CUST_03487,53,Other,Canada,2023-08-01 01:59:03,Email
CUST_01747,46,Female,USA,2023-04-17 05:22:21,Facebook Ads
CUST_08109,48,Female,USA,2024-05-08 06:40:00,Google Ads
CUST_11256,42,Male,USA,2024-11-15 17:40:10,Google Ads
CUST_07209,19,Female,Germany,2024-03-14 12:33:25,Organic Search
CUST_01343,40,Male,UK,2023-03-23 15:29:00,Google Ads
CUST_08301,52,Male,Germany,2024-05-19 23:00:36,Organic Search
CUST_00980,44,Female,Canada,2023-03-01 13:27:33,Facebook Ads
CUST_10753,18,Other,Canada,2024-10-16 03:13:42,Google Ads
CUST_10981,18,Male,France,2024-10-30 00:08:10,Google Ads
CUST_06287,22,Male,Canada,2024-01-18 10:19:29,Google Ads
CUST_11170,33,Female,France,2024-11-10 12:05:56,Organic Search
CUST_05413,25,Male,UK,2023-11-26 06:10:43,Email
CUST_10384,36,Female,Germany,2024-09-23 16:26:36,Google Ads
CUST_04004,40,Female,UK,2023-09-01 12:52:01,Google Ads
CUST_04797,40,Female,UK,2023-10-19 18:44:37,Google Ads
CUST_08125,30,Female,Canada,2024-05-09 06:01:43,Organic Search
CUST_00793,38,Male,USA,2023-02-18 04:24:59,Referral
CUST_00846,40,Male,UK,2023-02-21 09:48:10,Facebook Ads
CUST_03002,24,Male,USA,2023-07-02 13:49:31,Google Ads
CUST_07806,28,Male,Germany,2024-04-19 20:14:59,Email
CUST_09332,31,Female,Australia,2024-07-21 16:23:43,Organic Search
CUST_08150,28,Male,Canada,2024-05-10 18:31:54,Google Ads
CUST_08427,44,Female,USA,2024-05-27 14:59:07,Direct
CUST_05010,33,Male,UK,2023-11-01 17:44:58,Google Ads
CUST_07977,23,Female,USA,2024-04-30 05:55:50,Facebook Ads
CUST_07602,28,Male,Japan,2024-04-07 10:23:06,Facebook Ads
CUST_09629,24,Male,USA,2024-08-08 18:03:05,Facebook Ads
CUST_08713,20,Female,USA,2024-06-14 00:34:48,Email
CUST_07179,30,Female,USA,2024-03-12 16:45:12,Direct
CUST_07993,54,Male,UK,2024-05-01 05:17:33,Referral
CUST_10463,26,Female,USA,2024-09-28 11:47:35,Organic Search
CUST_03909,42,Male,Germany,2023-08-26 18:09:20,Facebook Ads
CUST_01226,33,Female,Canada,2023-03-16 12:38:57,Google Ads
CUST_01377,26,Male,USA,2023-03-25 17:07:39,Facebook Ads
CUST_01790,51,Male,USA,2023-04-19 20:09:28,Facebook Ads
CUST_00400,49,Male,Germany,2023-01-25 06:35:19,Organic Search
CUST_03346,54,Female,Japan,2023-07-23 12:06:25,Direct
CUST_04738,35,Female,Canada,2023-10-16 04:35:47,Email
CUST_00836,37,Female,France,2023-02-20 19:12:06,Email
CUST_09801,46,Male,UK,2024-08-19 05:11:33,Google Ads
CUST_06376,48,Female,Canada,2024-01-23 20:16:32,Organic Search
CUST_00666,36,Male,Germany,2023-02-10 10:58:51,Organic Search
CUST_10296,31,Female,USA,2024-09-18 07:57:10,Direct
CUST_02162,37,Female,USA,2023-05-12 11:19:23,Google Ads
CUST_02041,26,Female,USA,2023-05-05 02:38:54,Referral
CUST_06901,46,Male,Canada,2024-02-24 18:50:22,Google Ads
CUST_10302,23,Female,Germany,2024-09-18 16:42:48,Referral
CUST_03954,41,Female,USA,2023-08-29 11:51:40,Organic Search
CUST_05288,51,Female,Germany,2023-11-18 15:39:48,Direct
CUST_06889,27,Female,UK,2024-02-24 01:19:05,Email
CUST_02755,34,Male,Canada,2023-06-17 13:10:30,Google Ads
CUST_02006,37,Female,USA,2023-05-02 23:32:38,Organic Search
CUST_07295,36,Male,Australia,2024-03-19 18:07:39,Facebook Ads
