customer_id,total_spent,number_of_orders,days_since_last_purchase,avg_order_value,customer_segment,churned
CUST_07035,341.85,11,21,31.08,Medium Value,0
CUST_04919,65.11,11,51,5.92,Low Value,0
CUST_06927,284.36,10,123,28.44,Medium Value,0
CUST_10099,94.17,10,55,9.42,Low Value,0
CUST_07489,607.98,9,118,67.55,High Value,0
CUST_08135,600.57,9,25,66.73,High Value,0
CUST_06749,503.57,9,0,55.95,High Value,0
CUST_04221,484.7,9,1,53.86,Medium Value,0
CUST_07856,260.93,9,6,28.99,Medium Value,0
CUST_01506,212.62,9,13,23.62,Medium Value,0
CUST_07029,192.86,9,29,21.43,Medium Value,0
CUST_04118,138.77,9,46,15.42,Medium Value,0
CUST_04755,136,9,32,15.11,Medium Value,0
CUST_04301,126.34,9,12,14.04,Medium Value,0
CUST_01582,92.78,9,22,10.31,Low Value,0
CUST_11858,949.7,8,26,118.71,High Value,0
CUST_01394,786.46,8,63,98.31,High Value,0
CUST_01475,749.07,8,5,93.63,High Value,0
CUST_00024,635.75,8,23,79.47,High Value,1
CUST_10121,522.61,8,26,65.33,High Value,0
CUST_05511,507.57,8,7,63.45,High Value,0
CUST_03341,488.43,8,69,61.05,Medium Value,0
CUST_09778,458.38,8,27,57.3,Medium Value,0
CUST_04583,400.99,8,13,50.12,Medium Value,0
CUST_03342,306.12,8,0,38.27,Medium Value,0
CUST_02637,296.82,8,29,37.1,Medium Value,0
CUST_05352,273.37,8,15,34.17,Medium Value,0
CUST_05495,269.16,8,40,33.65,Medium Value,0
CUST_08968,241.91,8,27,30.24,Medium Value,0
CUST_00590,236.02,8,7,29.5,Medium Value,0
CUST_06230,229.59,8,114,28.7,Medium Value,0
CUST_06648,222.47,8,0,27.81,Medium Value,0
CUST_09501,220.26,8,14,27.53,Medium Value,0
CUST_10727,201.3,8,12,25.16,Medium Value,0
CUST_07008,172.59,8,34,21.57,Medium Value,0
CUST_03008,161.35,8,84,20.17,Medium Value,0
CUST_05018,157.2,8,1,19.65,Medium Value,0
CUST_06293,151.22,8,78,18.9,Medium Value,0
CUST_07146,148.73,8,3,18.59,Medium Value,0
CUST_09138,127.55,8,0,15.94,Medium Value,0
CUST_11130,125.44,8,41,15.68,Medium Value,0
CUST_00558,124.79,8,14,15.6,Medium Value,0
CUST_01198,119.09,8,22,14.89,Medium Value,0
CUST_04150,104.56,8,23,13.07,Medium Value,0
CUST_05645,97.58,8,8,12.2,Low Value,0
CUST_02400,84.14,8,4,10.52,Low Value,0
CUST_03487,83.79,8,42,10.47,Low Value,0
CUST_01747,79.05,8,27,9.88,Low Value,0
CUST_08109,69.41,8,13,8.68,Low Value,0
CUST_11256,66.93,8,56,8.37,Low Value,0
CUST_07209,65.09,8,71,8.14,Low Value,0
CUST_01343,64.91,8,62,8.11,Low Value,0
CUST_08301,64.52,8,95,8.07,Low Value,0
CUST_00980,61.2,8,9,7.65,Low Value,0
CUST_10753,61.06,8,91,7.63,Low Value,1
CUST_10981,60.72,8,14,7.59,Low Value,0
CUST_06287,54.64,8,65,6.83,Low Value,0
CUST_11170,41.05,8,39,5.13,Low Value,0
CUST_05413,37.09,8,0,4.64,Low Value,0
CUST_10384,36.61,8,62,4.58,Low Value,0
CUST_04004,19.93,8,25,2.49,Low Value,0
CUST_04797,12.23,8,55,1.53,Low Value,0
CUST_08125,9.76,8,88,1.22,Low Value,1
CUST_00793,7.2,8,33,0.9,Low Value,0
CUST_00846,5.17,8,51,0.65,Low Value,0
CUST_03002,2.46,8,1,0.31,Low Value,0
CUST_07806,0.35,8,148,0.04,Low Value,0
CUST_09332,1342.78,7,27,191.83,High Value,1
CUST_08150,961.51,7,0,137.36,High Value,0
CUST_08427,903.88,7,47,129.13,High Value,0
CUST_05010,889.07,7,9,127.01,High Value,1
CUST_07977,721.68,7,17,103.1,High Value,0
CUST_07602,674.34,7,11,96.33,High Value,0
CUST_09629,657.51,7,5,93.93,High Value,1
CUST_08713,646.33,7,16,92.33,High Value,0
CUST_07179,605.11,7,44,86.44,High Value,0
CUST_07993,566.78,7,14,80.97,High Value,0
CUST_10463,545.03,7,5,77.86,High Value,0
CUST_03909,484.44,7,7,69.21,Medium Value,0
CUST_01226,475.39,7,4,67.91,Medium Value,0
CUST_01377,464.29,7,5,66.33,Medium Value,0
CUST_01790,463.87,7,8,66.27,Medium Value,0
CUST_00400,454.32,7,3,64.9,Medium Value,1
CUST_03346,453.31,7,32,64.76,Medium Value,0
CUST_04738,420.12,7,27,60.02,Medium Value,0
CUST_00836,414.07,7,183,59.15,Medium Value,1
CUST_09801,410.93,7,54,58.7,Medium Value,1
CUST_06376,352.27,7,20,50.32,Medium Value,0
CUST_00666,345.81,7,110,49.4,Medium Value,1
CUST_10296,341.22,7,28,48.75,Medium Value,0
CUST_02162,339.6,7,54,48.51,Medium Value,1
CUST_02041,339.35,7,38,48.48,Medium Value,0
CUST_06901,332.49,7,59,47.5,Medium Value,0
CUST_10302,314.09,7,28,44.87,Medium Value,0
CUST_03954,309.74,7,43,44.25,Medium Value,0
CUST_05288,309.02,7,14,44.15,Medium Value,0
CUST_06889,307.85,7,24,43.98,Medium Value,0
CUST_02755,307.27,7,0,43.9,Medium Value,0
CUST_02006,296.73,7,1,42.39,Medium Value,0
CUST_07295,288.22,7,14,41.17,Medium Value,1
CUST_01372,287.69,7,5,41.1,Medium Value,0
CUST_01131,287.58,7,80,41.08,Medium Value,0
CUST_02213,279.62,7,51,39.95,Medium Value,0
CUST_10054,270.64,7,17,38.66,Medium Value,0
CUST_01139,263.18,7,10,37.6,Medium Value,0
CUST_01026,244.47,7,45,34.92,Medium Value,0
CUST_11526,238.14,7,59,34.02,Medium Value,0
CUST_08473,237.34,7,51,33.91,Medium Value,1
CUST_01031,215.92,7,30,30.85,Medium Value,1
CUST_06780,208.21,7,59,29.74,Medium Value,0
CUST_11313,205.79,7,3,29.4,Medium Value,0
CUST_08766,202.1,7,38,28.87,Medium Value,0
CUST_07174,202.06,7,11,28.87,Medium Value,0
CUST_07053,197.16,7,11,28.17,Medium Value,1
CUST_01596,188.52,7,16,26.93,Medium Value,1
