CustomerID,Age,Gender,Country,RegistrationDate,AcquisitionChannel,EmailOpens,EmailClicks,AdImpressions,AdClicks,TotalSpent,NumberOfOrders,DaysSinceLastPurchase,EmailClickRate,AdClickRate,AvgOrderValue,CustomerSegment,Churned
CUST_00001,40,Male,Japan,2023-01-01 00:00:00.000000000,Facebook Ads,2,0,48,0,153.46,3,0,0.0,0.0,51.153333333333336,Medium Value,0
CUST_00002,33,Female,USA,2023-01-01 01:27:36.438036503,Google Ads,0,0,53,2,61.23,0,30,0.0,0.03773584905660377,0.0,Low Value,0
CUST_00003,42,Male,Canada,2023-01-01 02:55:12.876073006,Organic Search,1,0,42,4,85.49,2,28,0.0,0.09523809523809523,42.745,Low Value,0
CUST_00004,53,Male,USA,2023-01-01 04:22:49.314109509,Organic Search,3,2,44,3,377.91,2,9,0.6666666666666666,0.06818181818181818,188.955,Medium Value,0
CUST_00005,32,Other,USA,2023-01-01 05:50:25.752146012,Google Ads,6,1,57,2,53.13,1,22,0.16666666666666666,0.03508771929824561,53.13,Low Value,1
CUST_00006,32,Female,Australia,2023-01-01 07:18:02.190182515,Organic Search,2,0,47,2,234.01,0,12,0.0,0.0425531914893617,0.0,Low Value,1
CUST_00007,53,Male,USA,2023-01-01 08:45:38.628219018,Email,0,0,55,3,119.5,2,24,0.0,0.05454545454545454,59.75,Medium Value,0
CUST_00008,44,Female,Japan,2023-01-01 10:13:15.066255521,Organic Search,2,0,47,4,142.54,1,47,0.0,0.0851063829787234,142.54,Medium Value,0
CUST_00009,29,Male,USA,2023-01-01 11:40:51.504292024,Google Ads,4,1,50,4,91.98,6,14,0.25,0.08,15.33,Low Value,0
CUST_00010,41,Male,UK,2023-01-01 13:08:27.942328527,Facebook Ads,2,0,52,5,307.8,3,11,0.0,0.09615384615384616,102.60000000000001,Medium Value,0
CUST_00011,29,Female,Japan,2023-01-01 14:36:04.380365030,Email,6,0,49,0,0.96,2,23,0.0,0.0,0.48,Low Value,0
CUST_00012,29,Male,USA,2023-01-01 16:03:40.818401533,Email,9,2,56,6,39.24,4,24,0.2222222222222222,0.10714285714285714,9.81,Low Value,0
CUST_00013,37,Female,Canada,2023-01-01 17:31:17.256438036,Facebook Ads,4,1,60,2,88.74,1,90,0.25,0.03333333333333333,88.74,Low Value,0
CUST_00014,18,Male,France,2023-01-01 18:58:53.694474539,Organic Search,3,1,60,2,46.57,4,1,0.3333333333333333,0.03333333333333333,11.6425,Low Value,0
CUST_00015,18,Male,USA,2023-01-01 20:26:30.132511042,Email,3,1,40,2,157.91,4,58,0.3333333333333333,0.05,39.4775,Medium Value,0
CUST_00016,28,Female,Germany,2023-01-01 21:54:06.570547545,Organic Search,6,1,56,4,234.31,1,73,0.16666666666666666,0.07142857142857142,234.31,Medium Value,0
CUST_00017,22,Male,USA,2023-01-01 23:21:43.008584048,Google Ads,3,1,49,2,177.58,4,14,0.3333333333333333,0.04081632653061224,44.395,Medium Value,0
CUST_00018,38,Female,USA,2023-01-02 00:49:19.446620551,Organic Search,2,2,53,3,135.83,3,8,1.0,0.05660377358490566,45.27666666666667,Medium Value,0
